date;Bangladesh
2020-12-14;492332
2020-12-15;494209
2020-12-16;495841
2020-12-17;496975
2020-12-18;498293
2020-12-19;499560
2020-12-20;500713
2020-12-21;502183
2020-12-22;503501
2020-12-23;504868
2020-12-24;506102
2020-12-25;507265
2020-12-26;508099
2020-12-27;509148
2020-12-28;510080
2020-12-29;511261
2020-12-30;512496
2020-12-31;513510
2021-01-01;514500
2021-01-02;515184
2021-01-03;516019
2021-01-04;516929
2021-01-05;517920
2021-01-06;518898
2021-01-07;519905
2021-01-08;520690
2021-01-09;521382
2021-01-10;522453
2021-01-11;523302
2021-01-12;524020
2021-01-13;524910
2021-01-14;525723
2021-01-15;526485
2021-01-16;527063
2021-01-17;527632
2021-01-18;528329
2021-01-19;529031
2021-01-20;529687
2021-01-21;530271
2021-01-22;530890
2021-01-23;531326
2021-01-24;531799
2021-01-25;532401
2021-01-26;532916
2021-01-27;533444
2021-01-28;533953
2021-01-29;534407
2021-01-30;534770
2021-01-31;535139
2021-02-01;535582
2021-02-02;536107
2021-02-03;536545
2021-02-04;537030
2021-02-05;537465
2021-02-06;537770
2021-02-07;538062
2021-02-08;538378
2021-02-09;538765
2021-02-10;539153
2021-02-11;539531
2021-02-12;539975
2021-02-13;540266
2021-02-14;540592
2021-02-15;541038
2021-02-16;541434
2021-02-17;541877
2021-02-18;542268
2021-02-19;542674
2021-02-20;543024
2021-02-21;543351
2021-02-22;543717
2021-02-23;544116
2021-02-24;544544
2021-02-25;544954
2021-02-26;545424
2021-02-27;545831
2021-02-28;546216
2021-03-01;546801
2021-03-02;547316
2021-03-03;547930
2021-03-04;548549
2021-03-05;549184
2021-03-06;549724
2021-03-07;550330
2021-03-08;551175
2021-03-09;552087
2021-03-10;553105
2021-03-11;554156
2021-03-12;555222
2021-03-13;556236
2021-03-14;557395
2021-03-15;559168
2021-03-16;560887
2021-03-17;562752
2021-03-18;564939
2021-03-19;566838
2021-03-20;568706
2021-03-21;570878
2021-03-22;573687
2021-03-23;577241
2021-03-24;580808
2021-03-25;584395
2021-03-26;588132
2021-03-27;591806
2021-03-28;595714
2021-03-29;600895
2021-03-30;605937
2021-03-31;611295
