date,total_cases_filter
2021-02-17,541858.2
2021-02-18,542255.3999999999
2021-02-19,542638.7999999998
2021-02-20,543006.7999999998
2021-02-21,543376.3999999999
2021-02-22,543750.3999999999
2021-02-23,544136.3999999999
2021-02-24,544550.9999999999
2021-02-25,544973.7999999999
2021-02-26,545393.7999999998
2021-02-27,545845.2
2021-02-28,546317.5999999999
2021-03-01,546818.7999999999
2021-03-02,547362.3999999999
2021-03-03,547955.9999999999
2021-03-04,548540.5999999999
2021-03-05,549143.3999999999
2021-03-06,549792.3999999999
2021-03-07,550499.9999999999
2021-03-08,551284.2
2021-03-09,552170.5999999999
2021-03-10,553148.9999999999
2021-03-11,554161.2
2021-03-12,555222.7999999998
2021-03-13,556435.3999999999
2021-03-14,557781.5999999999
2021-03-15,559287.5999999999
2021-03-16,561028.2
2021-03-17,562916.7999999999
2021-03-18,564824.3999999999
2021-03-19,566822.5999999999
2021-03-20,569009.5999999999
2021-03-21,571469.9999999999
2021-03-22,574263.9999999999
2021-03-23,577401.7999999998
2021-03-24,580852.5999999999
2021-03-25,584476.3999999999
2021-03-26,588170.9999999999
2021-03-27,592188.3999999999
2021-03-28,596496.7999999999
2021-03-29,601129.3999999999
2021-03-30,606320.9999999999
2021-03-31,612096.9999999999
2021-04-01,617973.3999999999
2021-04-02,624258.7999999998
2021-04-03,630887.5999999999
2021-04-04,637665.2
2021-04-05,644601.9999999999
2021-04-06,651772.9999999999
2021-04-07,659018.9999999998
2021-04-08,665918.5999999999
2021-04-09,672539.3999999999
2021-04-10,679075.2
2021-04-11,685445.7999999998
2021-04-12,691360.9999999999
2021-04-13,697045.9999999999
2021-04-14,702450.5999999999
2021-04-15,707109.5999999999
2021-04-16,711302.5999999999
2021-04-17,715312.7999999998
2021-04-18,719396.3999999999
2021-04-19,723452.5999999999
2021-04-20,727616.9999999999
2021-04-21,731767.5999999999
2021-04-22,735603.3999999999
2021-04-23,739111.7999999998
2021-04-24,742425.3999999999
2021-04-25,745542.3999999999
2021-04-26,748524.5999999999
2021-04-27,751435.5999999999
2021-04-28,754197.5999999999
2021-04-29,756588.7999999998
2021-04-30,758645.5999999999
2021-05-01,760459.1999999998
2021-05-02,762187.3999999999
2021-05-03,763828.5999999999
2021-05-04,765543.7999999998
2021-05-05,767323.5999999999
2021-05-06,769012.5999999999
2021-05-07,770595.9999999999
2021-05-08,772133.7999999998
2021-05-09,773553.1999999998
2021-05-10,774864.2
2021-05-11,776176.1999999998
2021-05-12,777380.5999999999
2021-05-13,778334.3999999998
2021-05-14,779114.7999999998
2021-05-15,779806.7999999998
2021-05-16,780495.1999999998
2021-05-17,781335.5999999999
2021-05-18,782415.1999999998
2021-05-19,783722.9999999998
2021-05-20,785096.7999999998
2021-05-21,786486.9999999998
2021-05-22,787843.7999999998
2021-05-23,789244.1999999998
2021-05-24,790643.1999999998
2021-05-25,792094.9999999999
2021-05-26,793547.5999999999
2021-05-27,794920.5999999999
2021-05-28,796247.3999999999
2021-05-29,797616.7999999998
2021-05-30,799080.7999999998
2021-05-31,800670.7999999998
2021-06-01,802389.5999999999
2021-06-02,804196.9999999998
2021-06-03,805951.7999999998
2021-06-04,807688.7999999998
2021-06-05,809422.1999999998
2021-06-06,811282.5999999999
2021-06-07,813272.9999999998
2021-06-08,815489.1999999998
2021-06-09,817860.9999999998
2021-06-10,820166.1999999998
2021-06-11,822494.2
2021-06-12,824924.7999999998
2021-06-13,827503.9999999998
2021-06-14,830383.5999999999
2021-06-15,833703.7999999998
2021-06-16,837313.3999999999
2021-06-17,840924.3999999998
2021-06-18,844599.7999999998
2021-06-19,848411.2
2021-06-20,852423.7999999998
2021-06-21,856805.1999999998
2021-06-22,861523.3999999997
2021-06-23,866241.5999999995
